date,temp_max_f,temp_min_f,temp_avg_f,precipitation_in,snowfall_in,snow_depth_in,wind_speed_mph
2023-02-15,48.4,27.5,38.0,0.18,2.0,1.5,3.4
2023-02-16,38.3,24.2,31.2,0.0,0.0,0.0,10.6
2023-02-17,45.3,27.7,36.5,0.0,0.0,0.0,8.3
2023-02-18,47.2,27.2,37.2,0.0,0.0,0.0,5.0
2023-02-19,42.2,27.2,34.7,0.0,0.0,0.0,21.3
2023-02-20,42.0,31.3,36.6,0.38,4.4,6.1,10.8
2023-02-21,38.9,33.0,36.0,0.0,0.0,0.0,14.3
2023-02-22,30.9,21.2,26.0,0.0,0.0,0.0,15.4
2023-02-23,42.7,27.0,34.9,0.0,0.0,0.0,13.6
2023-02-24,43.8,30.3,37.0,0.16,1.5,1.8,7.0
2023-02-25,44.2,34.2,39.2,0.14,0.0,0.0,8.6
2023-02-26,43.4,27.4,35.4,0.0,0.0,0.0,7.9
2023-02-27,42.6,29.6,36.1,0.02,0.2,0.2,7.5
2023-02-28,42.5,36.2,39.4,0.0,0.0,0.0,11.8
2023-03-01,40.9,33.3,37.1,0.0,0.0,0.0,9.2
2023-03-02,52.1,32.3,42.2,0.0,0.0,0.0,16.0
2023-03-03,56.9,28.8,42.9,0.43,0.0,0.0,9.9
2023-03-04,52.0,27.2,39.6,0.0,0.0,0.0,6.3
2023-03-05,48.0,42.6,45.3,0.0,0.0,0.0,4.6
2023-03-06,53.8,27.7,40.8,0.41,0.0,0.0,4.4
2023-03-07,58.2,32.4,45.3,0.0,0.0,0.0,9.2
2023-03-08,46.3,35.8,41.0,0.0,0.0,0.0,6.1
2023-03-09,52.2,33.2,42.7,0.0,0.0,0.0,4.7
2023-03-10,51.1,36.2,43.7,0.23,0.0,0.0,9.2
2023-03-11,54.2,42.3,48.2,0.13,0.0,0.0,5.5
2023-03-12,46.1,40.3,43.2,0.0,0.0,0.0,7.4
2023-03-13,59.9,42.4,51.1,0.65,0.0,0.0,7.3
2023-03-14,54.1,38.1,46.1,0.0,0.0,0.0,5.9
2023-03-15,56.3,31.5,43.9,0.0,0.0,0.0,7.7
2023-03-16,49.8,41.7,45.8,0.75,0.0,0.0,5.8
2023-03-17,48.4,28.9,38.6,0.0,0.0,0.0,7.0
2023-03-18,51.4,33.6,42.5,0.0,0.0,0.0,4.9
2023-03-19,54.6,30.2,42.4,0.0,0.0,0.0,6.5
2023-03-20,54.8,32.7,43.8,0.57,0.0,0.0,0.3
2023-03-21,55.7,31.6,43.7,0.0,0.0,0.0,0.2
2023-03-22,48.0,40.2,44.1,0.36,0.0,0.0,12.1
2023-03-23,43.6,32.6,38.1,0.0,0.0,0.0,5.4
2023-03-24,51.2,26.9,39.0,0.0,0.0,0.0,9.4
2023-03-25,51.0,36.9,44.0,0.0,0.0,0.0,5.6
2023-03-26,46.6,38.2,42.4,0.0,0.0,0.0,1.9
2023-03-27,50.5,38.0,44.2,0.44,0.0,0.0,12.5
2023-03-28,51.1,34.1,42.6,0.0,0.0,0.0,6.2
2023-03-29,47.6,33.9,40.8,0.11,0.0,0.0,7.8
2023-03-30,49.6,35.4,42.5,0.06,0.0,0.0,5.8
2023-03-31,51.4,40.1,45.8,0.34,0.0,0.0,8.0
2023-04-01,71.5,38.1,54.8,0.0,0.0,0.0,9.9
2023-04-02,68.5,44.6,56.5,0.0,0.0,0.0,12.3
2023-04-03,57.5,44.1,50.8,0.0,0.0,0.0,3.3
2023-04-04,51.6,42.5,47.0,0.0,0.0,0.0,4.9
2023-04-05,62.4,45.1,53.8,0.0,0.0,0.0,13.7
2023-04-06,54.8,44.3,49.5,0.61,0.0,0.0,9.5
2023-04-07,61.2,48.5,54.9,0.0,0.0,0.0,9.9
2023-04-08,64.6,42.8,53.7,0.01,0.0,0.0,3.8
2023-04-09,65.2,42.6,53.9,0.0,0.0,0.0,9.4
2023-04-10,67.3,42.0,54.6,0.0,0.0,0.0,12.2
2023-04-11,55.1,44.7,49.9,0.0,0.0,0.0,8.3
2023-04-12,62.0,37.2,49.6,0.0,0.0,0.0,2.2
2023-04-13,65.8,39.8,52.8,0.3,0.0,0.0,8.8
2023-04-14,67.1,48.6,57.8,0.0,0.0,0.0,8.7
2023-04-15,59.3,46.4,52.8,0.0,0.0,0.0,11.9
2023-04-16,66.8,48.9,57.8,0.0,0.0,0.0,8.7
2023-04-17,68.9,46.0,57.5,0.32,0.0,0.0,8.3
2023-04-18,59.3,46.9,53.1,0.0,0.0,0.0,8.3
2023-04-19,56.9,45.1,51.0,0.11,0.0,0.0,8.7
2023-04-20,62.3,28.3,45.3,0.0,0.0,0.0,3.8
2023-04-21,56.7,39.4,48.0,0.0,0.0,0.0,8.3
2023-04-22,49.6,45.3,47.5,0.46,0.0,0.0,12.2
2023-04-23,67.1,42.4,54.8,0.0,0.0,0.0,6.9
2023-04-24,62.1,42.6,52.4,0.0,0.0,0.0,8.0
2023-04-25,59.3,49.4,54.3,0.23,0.0,0.0,11.4
2023-04-26,62.5,40.6,51.5,0.0,0.0,0.0,1.0
2023-04-27,61.4,43.4,52.4,0.0,0.0,0.0,6.7
2023-04-28,60.1,46.1,53.1,0.0,0.0,0.0,0.3
2023-04-29,72.2,52.9,62.5,0.0,0.0,0.0,5.6
2023-04-30,66.1,41.7,53.9,0.0,0.0,0.0,11.5
2023-05-01,77.7,49.1,63.4,0.76,0.0,0.0,6.6
2023-05-02,76.0,49.6,62.8,0.0,0.0,0.0,6.9
2023-05-03,59.4,54.2,56.8,0.0,0.0,0.0,15.2
2023-05-04,67.0,55.5,61.2,0.0,0.0,0.0,7.1
2023-05-05,82.0,55.9,69.0,0.0,0.0,0.0,6.5
2023-05-06,72.5,59.6,66.0,0.0,0.0,0.0,7.3
2023-05-07,73.1,56.6,64.8,0.26,0.0,0.0,9.1
2023-05-08,67.9,59.6,63.8,0.12,0.0,0.0,17.7
2023-05-09,73.1,60.6,66.8,0.0,0.0,0.0,11.3
2023-05-10,72.7,49.0,60.9,0.0,0.0,0.0,0.9
2023-05-11,72.8,57.5,65.2,0.0,0.0,0.0,9.6
2023-05-12,70.0,60.1,65.0,0.0,0.0,0.0,3.9
2023-05-13,71.3,55.0,63.1,0.0,0.0,0.0,4.4
2023-05-14,71.8,58.1,65.0,0.44,0.0,0.0,9.9
2023-05-15,64.0,53.6,58.8,0.46,0.0,0.0,12.5
2023-05-16,70.1,44.3,57.2,0.0,0.0,0.0,7.6
2023-05-17,74.6,56.1,65.3,0.57,0.0,0.0,12.9
2023-05-18,72.8,53.5,63.1,0.0,0.0,0.0,18.7
2023-05-19,71.5,53.1,62.3,0.0,0.0,0.0,0.1
2023-05-20,72.9,51.1,62.0,0.0,0.0,0.0,6.0
2023-05-21,73.0,56.3,64.7,0.0,0.0,0.0,0.6
2023-05-22,73.6,53.8,63.7,0.0,0.0,0.0,8.9
2023-05-23,75.0,55.9,65.5,0.0,0.0,0.0,3.8
2023-05-24,87.4,60.1,73.8,0.0,0.0,0.0,12.6
2023-05-25,73.2,52.3,62.8,0.0,0.0,0.0,3.9
2023-05-26,74.0,62.9,68.5,0.0,0.0,0.0,1.3
2023-05-27,67.3,51.3,59.3,0.0,0.0,0.0,10.6
2023-05-28,71.2,56.5,63.9,0.77,0.0,0.0,8.7
2023-05-29,74.1,59.5,66.8,0.0,0.0,0.0,8.1
2023-05-30,71.4,57.9,64.7,0.0,0.0,0.0,6.7
2023-05-31,67.0,51.6,59.3,0.0,0.0,0.0,0.4
2023-06-01,75.6,60.5,68.0,0.0,0.0,0.0,3.5
2023-06-02,83.6,59.5,71.5,0.0,0.0,0.0,1.0
2023-06-03,83.5,65.7,74.6,0.0,0.0,0.0,8.0
2023-06-04,74.3,64.2,69.2,0.0,0.0,0.0,10.0
2023-06-05,77.1,55.6,66.3,0.0,0.0,0.0,6.4
2023-06-06,80.9,68.8,74.8,0.0,0.0,0.0,9.1
2023-06-07,80.8,66.5,73.7,0.0,0.0,0.0,10.7
2023-06-08,79.7,75.2,77.5,0.0,0.0,0.0,3.2
2023-06-09,80.6,65.8,73.2,0.0,0.0,0.0,2.3
2023-06-10,82.1,66.9,74.5,0.0,0.0,0.0,6.7
2023-06-11,76.9,61.2,69.1,0.3,0.0,0.0,10.9
2023-06-12,76.1,57.8,66.9,0.0,0.0,0.0,6.9
2023-06-13,76.9,71.6,74.2,0.0,0.0,0.0,5.5
2023-06-14,76.6,65.7,71.2,0.0,0.0,0.0,12.0
2023-06-15,79.9,52.8,66.3,0.0,0.0,0.0,6.9
2023-06-16,75.8,63.6,69.7,0.13,0.0,0.0,13.1
2023-06-17,74.8,59.9,67.3,0.21,0.0,0.0,5.2
2023-06-18,73.6,67.0,70.3,0.86,0.0,0.0,7.1
2023-06-19,81.0,67.0,74.0,0.0,0.0,0.0,6.3
2023-06-20,80.1,73.5,76.8,0.0,0.0,0.0,7.6
2023-06-21,87.8,69.8,78.8,0.0,0.0,0.0,7.0
2023-06-22,75.0,63.6,69.3,0.0,0.0,0.0,15.5
2023-06-23,81.0,69.8,75.4,0.0,0.0,0.0,12.2
2023-06-24,78.0,70.5,74.2,0.04,0.0,0.0,9.0
2023-06-25,75.8,69.1,72.4,0.0,0.0,0.0,6.1
2023-06-26,79.9,68.0,74.0,0.0,0.0,0.0,12.6
2023-06-27,80.8,67.7,74.2,0.0,0.0,0.0,12.0
2023-06-28,74.9,63.1,69.0,0.0,0.0,0.0,6.9
2023-06-29,83.7,63.0,73.3,0.08,0.0,0.0,8.2
2023-06-30,79.3,64.5,71.9,0.0,0.0,0.0,1.8
2023-07-01,80.1,74.1,77.1,0.0,0.0,0.0,12.6
2023-07-02,85.0,74.8,79.9,0.0,0.0,0.0,9.1
2023-07-03,92.7,64.3,78.5,0.0,0.0,0.0,3.6
2023-07-04,84.8,69.5,77.2,0.0,0.0,0.0,4.0
2023-07-05,88.9,73.9,81.4,0.0,0.0,0.0,4.8
2023-07-06,92.2,65.6,78.9,0.0,0.0,0.0,1.7
2023-07-07,88.8,67.2,78.0,0.0,0.0,0.0,6.7
2023-07-08,77.4,71.0,74.2,0.4,0.0,0.0,1.9
2023-07-09,77.4,76.8,77.1,0.0,0.0,0.0,7.9
2023-07-10,91.5,73.5,82.5,0.0,0.0,0.0,2.2
2023-07-11,88.4,71.2,79.8,0.0,0.0,0.0,7.3
2023-07-12,84.4,73.9,79.2,0.07,0.0,0.0,7.0
2023-07-13,86.5,67.8,77.2,0.75,0.0,0.0,4.0
2023-07-14,86.3,79.0,82.7,0.23,0.0,0.0,8.7
2023-07-15,85.7,70.7,78.2,0.0,0.0,0.0,12.9
2023-07-16,81.3,72.6,76.9,0.0,0.0,0.0,11.6
2023-07-17,79.6,67.2,73.4,0.0,0.0,0.0,8.0
2023-07-18,95.4,71.4,83.4,0.0,0.0,0.0,11.7
2023-07-19,86.2,75.4,80.8,0.0,0.0,0.0,11.3
2023-07-20,85.5,76.0,80.8,0.4,0.0,0.0,2.4
2023-07-21,82.6,70.2,76.4,0.0,0.0,0.0,6.7
2023-07-22,74.9,70.4,72.7,0.59,0.0,0.0,2.8
2023-07-23,81.4,74.8,78.1,0.0,0.0,0.0,5.2
2023-07-24,78.5,66.1,72.3,0.0,0.0,0.0,1.6
2023-07-25,91.6,66.9,79.2,0.0,0.0,0.0,3.1
2023-07-26,88.1,70.0,79.0,0.33,0.0,0.0,8.0
2023-07-27,82.6,73.6,78.1,0.0,0.0,0.0,11.7
2023-07-28,74.8,68.5,71.7,0.0,0.0,0.0,7.7
2023-07-29,95.0,63.0,79.0,0.0,0.0,0.0,8.8
2023-07-30,84.4,71.9,78.2,0.0,0.0,0.0,14.6
2023-07-31,95.8,74.3,85.0,0.0,0.0,0.0,3.1
2023-08-01,92.7,67.9,80.3,0.0,0.0,0.0,8.2
2023-08-02,83.1,65.1,74.1,0.0,0.0,0.0,7.0
2023-08-03,80.8,64.7,72.8,0.0,0.0,0.0,9.8
2023-08-04,83.0,69.5,76.2,0.0,0.0,0.0,8.9
2023-08-05,73.6,66.1,69.8,0.95,0.0,0.0,10.9
2023-08-06,87.5,67.6,77.5,0.0,0.0,0.0,14.2
2023-08-07,93.2,67.8,80.5,0.77,0.0,0.0,9.6
2023-08-08,82.1,63.7,72.9,0.0,0.0,0.0,9.7
2023-08-09,88.8,68.0,78.4,0.0,0.0,0.0,10.3
2023-08-10,88.2,73.2,80.7,0.0,0.0,0.0,10.7
2023-08-11,85.1,69.1,77.1,0.0,0.0,0.0,1.2
2023-08-12,88.2,70.5,79.3,0.0,0.0,0.0,6.6
2023-08-13,70.6,66.4,68.5,0.0,0.0,0.0,5.9
2023-08-14,85.8,75.0,80.4,0.0,0.0,0.0,13.4
2023-08-15,80.2,64.5,72.3,0.0,0.0,0.0,15.0
2023-08-16,85.1,69.5,77.3,0.0,0.0,0.0,10.1
2023-08-17,91.6,72.2,81.9,0.57,0.0,0.0,15.9
2023-08-18,82.6,71.4,77.0,0.0,0.0,0.0,15.9
2023-08-19,84.1,70.7,77.4,0.57,0.0,0.0,10.7
2023-08-20,90.4,70.1,80.2,0.0,0.0,0.0,8.1
2023-08-21,84.2,72.9,78.6,0.9,0.0,0.0,10.1
2023-08-22,75.7,68.3,72.0,0.0,0.0,0.0,8.8
2023-08-23,78.0,73.1,75.5,0.0,0.0,0.0,11.0
2023-08-24,92.3,71.3,81.8,0.0,0.0,0.0,3.6
2023-08-25,83.2,70.8,77.0,0.0,0.0,0.0,7.7
2023-08-26,77.7,72.9,75.3,0.0,0.0,0.0,9.3
2023-08-27,82.9,74.2,78.6,0.64,0.0,0.0,7.1
2023-08-28,90.9,66.0,78.5,0.0,0.0,0.0,6.9
2023-08-29,78.5,68.6,73.5,0.0,0.0,0.0,13.1
2023-08-30,88.4,72.9,80.7,0.0,0.0,0.0,3.4
2023-08-31,83.3,66.7,75.0,0.0,0.0,0.0,8.5
2023-09-01,81.5,58.3,69.9,0.52,0.0,0.0,2.7
2023-09-02,80.3,60.7,70.5,0.0,0.0,0.0,9.6
2023-09-03,85.6,65.4,75.5,0.82,0.0,0.0,11.7
2023-09-04,79.4,57.6,68.5,0.0,0.0,0.0,4.7
2023-09-05,75.3,65.0,70.2,0.0,0.0,0.0,10.6
2023-09-06,77.0,54.2,65.6,0.0,0.0,0.0,13.3
2023-09-07,75.7,59.2,67.5,0.73,0.0,0.0,6.4
2023-09-08,74.0,68.3,71.2,0.0,0.0,0.0,12.9
2023-09-09,77.5,57.1,67.3,0.0,0.0,0.0,14.1
2023-09-10,65.8,64.6,65.2,0.0,0.0,0.0,3.0
2023-09-11,88.3,63.8,76.0,0.0,0.0,0.0,7.7
2023-09-12,80.1,61.3,70.7,0.0,0.0,0.0,4.7
2023-09-13,87.1,62.6,74.8,0.0,0.0,0.0,6.2
2023-09-14,78.6,61.6,70.1,0.0,0.0,0.0,7.3
2023-09-15,78.1,66.4,72.2,0.0,0.0,0.0,3.6
2023-09-16,82.8,63.2,73.0,0.06,0.0,0.0,10.2
2023-09-17,77.9,57.9,67.9,0.14,0.0,0.0,5.6
2023-09-18,72.1,59.3,65.7,0.0,0.0,0.0,9.1
2023-09-19,81.0,65.1,73.0,0.29,0.0,0.0,3.8
2023-09-20,76.2,61.2,68.7,0.0,0.0,0.0,7.6
2023-09-21,76.6,61.4,69.0,0.62,0.0,0.0,7.9
2023-09-22,81.5,68.9,75.2,0.45,0.0,0.0,3.4
2023-09-23,82.3,54.7,68.5,0.0,0.0,0.0,8.0
2023-09-24,85.9,65.8,75.8,1.07,0.0,0.0,9.1
2023-09-25,81.2,58.3,69.8,0.0,0.0,0.0,7.0
2023-09-26,72.0,62.9,67.5,0.0,0.0,0.0,8.5
2023-09-27,79.2,57.0,68.1,0.0,0.0,0.0,9.5
2023-09-28,76.0,64.0,70.0,0.0,0.0,0.0,5.5
2023-09-29,72.0,61.7,66.8,0.0,0.0,0.0,6.1
2023-09-30,80.8,64.7,72.8,0.73,0.0,0.0,0.7
2023-10-01,64.6,47.5,56.0,0.0,0.0,0.0,13.2
2023-10-02,66.8,48.6,57.7,0.46,0.0,0.0,13.1
2023-10-03,65.8,45.5,55.6,0.4,0.0,0.0,3.4
2023-10-04,65.5,44.5,55.0,0.0,0.0,0.0,12.6
2023-10-05,62.3,47.6,55.0,0.0,0.0,0.0,3.8
2023-10-06,63.3,49.7,56.5,0.17,0.0,0.0,9.2
2023-10-07,65.0,52.6,58.8,0.0,0.0,0.0,6.4
2023-10-08,70.4,58.4,64.4,0.52,0.0,0.0,13.2
2023-10-09,57.9,47.7,52.8,0.0,0.0,0.0,4.9
2023-10-10,57.0,48.9,53.0,0.0,0.0,0.0,1.1
2023-10-11,68.1,49.3,58.7,0.0,0.0,0.0,5.1
2023-10-12,66.3,52.5,59.4,0.53,0.0,0.0,5.8
2023-10-13,64.0,46.7,55.4,0.36,0.0,0.0,12.3
2023-10-14,59.7,53.1,56.4,0.22,0.0,0.0,10.3
2023-10-15,61.5,53.3,57.4,0.0,0.0,0.0,9.4
2023-10-16,58.3,52.9,55.6,0.0,0.0,0.0,8.7
2023-10-17,63.6,57.6,60.6,0.0,0.0,0.0,14.8
2023-10-18,59.7,48.7,54.2,0.63,0.0,0.0,1.8
2023-10-19,75.9,50.0,63.0,0.0,0.0,0.0,4.2
2023-10-20,69.3,50.0,59.6,0.0,0.0,0.0,9.9
2023-10-21,56.5,47.7,52.1,0.0,0.0,0.0,1.4
2023-10-22,62.9,46.8,54.8,0.0,0.0,0.0,4.6
2023-10-23,67.5,49.7,58.6,0.47,0.0,0.0,12.4
2023-10-24,63.4,51.6,57.5,0.49,0.0,0.0,9.0
2023-10-25,63.4,52.3,57.8,0.0,0.0,0.0,0.5
2023-10-26,69.7,52.2,61.0,0.0,0.0,0.0,10.6
2023-10-27,68.9,55.3,62.1,0.0,0.0,0.0,14.4
2023-10-28,66.4,49.1,57.8,0.0,0.0,0.0,2.9
2023-10-29,69.3,51.6,60.5,0.62,0.0,0.0,8.0
2023-10-30,59.8,47.9,53.8,0.0,0.0,0.0,7.3
2023-10-31,56.0,52.8,54.4,0.0,0.0,0.0,18.9
2023-11-01,49.4,38.8,44.1,0.0,0.0,0.0,8.8
2023-11-02,41.3,40.2,40.8,0.0,0.0,0.0,8.7
2023-11-03,51.5,42.0,46.8,0.0,0.0,0.0,13.7
2023-11-04,51.9,41.4,46.6,0.0,0.0,0.0,9.9
2023-11-05,50.8,42.3,46.5,0.0,0.0,0.0,4.8
2023-11-06,57.3,45.4,51.3,0.0,0.0,0.0,8.8
2023-11-07,59.5,41.5,50.5,0.37,0.0,0.0,5.1
2023-11-08,54.1,45.9,50.0,0.32,0.0,0.0,14.9
2023-11-09,50.1,37.8,44.0,0.01,0.0,0.0,6.3
2023-11-10,63.3,41.3,52.3,0.0,0.0,0.0,5.9
2023-11-11,53.6,42.1,47.9,0.31,0.0,0.0,15.6
2023-11-12,46.4,40.1,43.2,0.0,0.0,0.0,10.5
2023-11-13,56.8,41.6,49.2,0.0,0.0,0.0,9.2
2023-11-14,55.6,37.7,46.7,0.57,0.0,0.0,5.0
2023-11-15,60.1,42.5,51.3,0.47,0.0,0.0,11.3
2023-11-16,51.3,40.0,45.6,0.0,0.0,0.0,7.1
2023-11-17,52.3,43.5,47.9,0.0,0.0,0.0,7.8
2023-11-18,41.5,39.2,40.4,0.0,0.0,0.0,4.5
2023-11-19,57.7,34.6,46.2,0.14,0.0,0.0,15.0
2023-11-20,55.0,38.4,46.7,0.0,0.0,0.0,13.4
2023-11-21,55.2,35.5,45.4,0.0,0.0,0.0,12.8
2023-11-22,55.8,43.0,49.4,0.0,0.0,0.0,5.7
2023-11-23,46.6,43.4,45.0,0.0,0.0,0.0,8.5
2023-11-24,52.4,42.7,47.5,0.09,0.0,0.0,10.6
2023-11-25,55.0,51.0,53.0,0.0,0.0,0.0,10.4
2023-11-26,60.3,41.7,51.0,0.33,0.0,0.0,5.4
2023-11-27,48.7,47.5,48.1,0.0,0.0,0.0,7.0
2023-11-28,56.3,36.3,46.3,0.0,0.0,0.0,14.2
2023-11-29,58.0,39.6,48.8,0.0,0.0,0.0,3.3
2023-11-30,54.2,46.3,50.2,0.0,0.0,0.0,5.8
2023-12-01,42.8,30.2,36.5,0.0,0.0,0.0,10.2
2023-12-02,37.5,31.1,34.3,0.0,0.0,0.0,9.5
2023-12-03,40.7,36.9,38.8,0.0,0.0,0.0,6.6
2023-12-04,39.6,38.8,39.2,0.0,0.0,0.0,10.1
2023-12-05,47.1,31.8,39.5,0.0,0.0,0.0,9.5
2023-12-06,42.5,29.3,35.9,0.0,0.0,0.0,5.1
2023-12-07,37.8,22.9,30.3,0.03,0.2,0.1,3.6
2023-12-08,44.0,28.0,36.0,0.0,0.0,0.0,3.0
2023-12-09,40.3,27.6,34.0,0.0,0.0,0.0,0.8
2023-12-10,43.6,26.6,35.1,0.0,0.0,0.0,3.4
2023-12-11,47.4,31.8,39.6,0.0,0.0,0.0,10.0
2023-12-12,38.2,31.8,35.0,0.0,0.0,0.0,7.8
2023-12-13,47.0,19.1,33.0,0.62,7.1,7.0,13.6
2023-12-14,49.9,23.6,36.8,0.0,0.0,0.0,10.5
2023-12-15,49.5,35.0,42.2,0.0,0.0,0.0,6.4
2023-12-16,47.3,36.4,41.8,0.0,0.0,0.0,10.0
2023-12-17,47.8,26.7,37.2,0.0,0.0,0.0,3.4
2023-12-18,36.3,29.8,33.0,0.35,2.1,2.7,13.0
2023-12-19,44.1,26.9,35.5,0.0,0.0,0.0,13.3
2023-12-20,41.5,30.7,36.1,0.0,0.0,0.0,14.4
2023-12-21,43.1,25.0,34.0,0.0,0.0,0.0,6.9
2023-12-22,55.1,36.6,45.9,0.0,0.0,0.0,2.3
2023-12-23,45.4,27.2,36.3,0.0,0.0,0.0,14.8
2023-12-24,41.1,29.8,35.5,0.0,0.0,0.0,0.0
2023-12-25,47.6,33.7,40.7,0.4,0.0,0.0,9.8
2023-12-26,46.9,30.9,38.9,0.0,0.0,0.0,4.4
2023-12-27,50.7,27.1,38.9,0.16,0.0,0.0,4.2
2023-12-28,46.1,34.2,40.2,0.0,0.0,0.0,5.6
2023-12-29,43.1,34.0,38.5,0.0,0.0,0.0,7.2
2023-12-30,41.8,26.4,34.1,0.0,0.0,0.0,1.1
2023-12-31,39.5,33.0,36.2,0.0,0.0,0.0,8.2
